        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604210000,   1.808,   1.180,  -0.100,  -0.528,   1.180,  -0.200,   1.080,   0.000,   1.280
202604210006,   1.731,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210012,   1.656,   1.029,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210018,   1.583,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210024,   1.511,   0.859,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210030,   1.441,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210036,   1.371,   0.688,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210042,   1.304,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210048,   1.237,   0.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210054,   1.172,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210100,   1.109,   0.350,  -0.100,  -0.659,   0.350,  -0.200,   0.250,   0.000,   0.450
202604210106,   1.047,   0.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210112,   0.987,   0.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210118,   0.928,   0.098,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210124,   0.873,   0.019,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210130,   0.820,  -0.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210136,   0.770,  -0.121,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210142,   0.725,  -0.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210148,   0.683,  -0.268,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210154,   0.648,  -0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210200,   0.618,  -0.390,  -0.100,  -0.908,  -0.390,  -0.200,  -0.490,   0.000,  -0.290
202604210206,   0.595,  -0.429,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210212,   0.580,  -0.478,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210218,   0.574,  -0.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210224,   0.577,  -0.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210230,   0.590,  -0.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210236,   0.615,  -0.531,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210242,   0.651,  -0.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210248,   0.699,  -0.321,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604210254,   0.761,  -0.150,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
